term_id,term_str,n,num,stop,p_stem,pos_max
193,161,11,1,0,161,CD
194,1610,3,1,0,1610,CD
195,1612,1,1,0,1612,CD
196,1613,1,1,0,1613,CD
197,1617,1,1,0,1617,CD
198,1618,1,1,0,1618,NN
199,161819,1,1,0,161819,JJ
200,162,8,1,0,162,CD
201,1620,3,1,0,1620,CD
202,1623,2,1,0,1623,CD
203,1624,1,1,0,1624,CD
204,1629,1,1,0,1629,CD
205,163,7,1,0,163,CD
206,1630,1,1,0,1630,NNP
207,163164,1,1,0,163164,JJ
208,1638,1,1,0,1638,CD
209,164,8,1,0,164,CD
210,1640,1,1,0,1640,CD
211,1647,1,1,0,1647,CD
212,165,6,1,0,165,CD
213,1650,1,1,0,1650,CD
214,1651,1,1,0,1651,NNP
215,1655,1,1,0,1655,CD
216,1656,1,1,0,1656,CD
217,1657,2,1,0,1657,CD
218,1658,1,1,0,1658,NNP
219,166,5,1,0,166,CD
220,1660,1,1,0,1660,CD
221,1664,2,1,0,1664,CD
222,1666,1,1,0,1666,CD
223,167,9,1,0,167,CD
224,167168,1,1,0,167168,JJ
225,1672,1,1,0,1672,CD
226,1673,1,1,0,1673,CD
227,1674,1,1,0,1674,CD
228,1675,1,1,0,1675,CD
229,168,8,1,0,168,CD
230,1683,1,1,0,1683,NN
231,1684,1,1,0,1684,VB
232,1688,2,1,0,1688,CD
233,1689,2,1,0,1689,CD
234,169,10,1,0,169,CD
235,1690,1,1,0,1690,JJ
236,1692,2,1,0,1692,CD
237,1694,1,1,0,1694,CD
238,16951739,1,1,0,16951739,JJ
239,1696,1,1,0,1696,CD
240,1699,1,1,0,1699,CD
241,16f,1,1,0,16f,CD
242,17,92,1,0,17,CD
243,170,7,1,0,170,CD
244,1700,1,1,0,1700,CD
245,17000,1,1,0,17000,CD
246,1701,1,1,0,1701,CD
247,1703,2,1,0,1703,CD
248,1709,1,1,0,1709,NNP
249,171,8,1,0,171,CD
250,1710,1,1,0,1710,NNP
251,1713,1,1,0,1713,CD
252,1715,1,1,0,1715,CD
253,17151717,1,1,0,17151717,JJ
254,1718,4,1,0,1718,JJ
255,17184,1,1,0,17184,CD
256,1719,1,1,0,1719,NNP
257,172,6,1,0,172,CD
258,1720,2,1,0,1720,CD
259,1723,2,1,0,1723,CD
260,1726,2,1,0,1726,CD
261,1727,1,1,0,1727,CD
262,173,9,1,0,173,CD
263,1730,1,1,0,1730,CD
264,17321811,1,1,0,17321811,JJ
265,1734,2,1,0,1734,CD
266,1738,1,1,0,1738,CD
267,1739,1,1,0,1739,NNP
268,174,7,1,0,174,CD
269,1740,1,1,0,1740,CD
270,1744,1,1,0,1744,CD
271,1745,1,1,0,1745,CD
272,1747,2,1,0,1747,CD
273,1748,2,1,0,1748,CD
274,1749,2,1,0,1749,CD
275,175,10,1,0,175,CD
276,1750,5,1,0,1750,CD
277,17500,1,1,0,17500,CD
278,17511765,1,1,0,17511765,JJ
279,1754,2,1,0,1754,CD
280,1757,1,1,0,1757,CD
281,1759,1,1,0,1759,NN
282,176,7,1,0,176,CD
283,1761,1,1,0,1761,CD
284,1762,1,1,0,1762,CD
285,1763,1,1,0,1763,CD
286,1764,2,1,0,1764,CD
287,1765,2,1,0,1765,CD
288,1766,2,1,0,1766,CD
289,1767,4,1,0,1767,CD
290,1768,1,1,0,1768,CD
291,176989,1,1,0,176989,JJ
292,177,8,1,0,177,CD
293,1770,2,1,0,1770,CD
294,1771,1,1,0,1771,CD
295,1772,3,1,0,1772,CD
296,1773,1,1,0,1773,CD
297,17731853,1,1,0,17731853,NN
298,1774,1,1,0,1774,CD
299,1775,1,1,0,1775,CD
300,1776,1,1,0,1776,NNP
301,1777,1,1,0,1777,CD
302,1778,2,1,0,1778,CD
303,177999,1,1,0,177999,JJ
304,178,9,1,0,178,CD
305,1780,1,1,0,1780,CD
306,1781,3,1,0,1781,CD
307,178179,1,1,0,178179,CD
308,1783,2,1,0,1783,CD
309,1785,1,1,0,1785,CD
310,1786,3,1,0,1786,CD
311,1787,2,1,0,1787,CD
312,1788,1,1,0,1788,CD
313,1789,5,1,0,1789,CD
314,17891918,1,1,0,17891918,JJ
315,179,8,1,0,179,CD
316,1790,6,1,0,1790,CD
317,17901,1,1,0,17901,JJ
318,1791,4,1,0,1791,CD
319,1792,4,1,0,1792,CD
320,1793,2,1,0,1793,CD
321,179397,1,1,0,179397,CD
322,1795,3,1,0,1795,CD
323,17951800,1,1,0,17951800,JJ
324,1797,1,1,0,1797,NNP
325,1798,3,1,0,1798,CD
326,17980,1,1,0,17980,JJ
327,1799,2,1,0,1799,CD
328,18,85,1,0,18,CD
329,180,6,1,0,180,CD
330,1800,16,1,0,1800,CD
331,18000,1,1,0,18000,CD
332,1800this,1,1,0,1800thi,JJ
333,1801,1,1,0,1801,CD
334,180103,1,1,0,180103,JJ
335,1802,2,1,0,1802,CD
336,18041806,1,1,0,18041806,JJ
337,1806,5,1,0,1806,CD
338,180617,1,1,0,180617,JJ
339,1807,6,1,0,1807,CD
340,1808,10,1,0,1808,CD
341,18081812,1,1,0,18081812,CD
342,1809,3,1,0,1809,CD
343,181,8,1,0,181,CD
344,1810,2,1,0,1810,CD
345,1811,5,1,0,1811,CD
346,1812,4,1,0,1812,CD
347,1813,1,1,0,1813,CD
348,1814,4,1,0,1814,CD
349,18141819,1,1,0,18141819,JJ
350,1815,3,1,0,1815,CD
351,181516,1,1,0,181516,JJ
352,18151845,1,1,0,18151845,JJ
353,1816,6,1,0,1816,CD
354,1817,3,1,0,1817,CD
355,1818,3,1,0,1818,CD
356,1819,1,1,0,1819,CD
357,182,10,1,0,182,CD
358,1820,3,1,0,1820,CD
359,1820s,1,1,0,1820,CD
360,1821,1,1,0,1821,CD
361,182183,1,1,0,182183,JJ
362,1822,1,1,0,1822,CD
363,1823,1,1,0,1823,CD
364,1825,1,1,0,1825,CD
365,1826,3,1,0,1826,CD
366,182638,1,1,0,182638,JJ
367,1827,1,1,0,1827,CD
368,1828,1,1,0,1828,CD
369,1829,1,1,0,1829,CD
370,1829183,1,1,0,1829183,JJ
371,183,8,1,0,183,CD
372,1830,4,1,0,1830,CD
373,18301833,1,1,0,18301833,JJ
374,18301920,1,1,0,18301920,JJ
375,1830s,2,1,0,1830,CD
376,1831,3,1,0,1831,CD
377,1832,2,1,0,1832,CD
378,1833,1,1,0,1833,NNP
379,1834,2,1,0,1834,CD
380,1835,1,1,0,1835,CD
381,1836,3,1,0,1836,CD
382,18381839,1,1,0,18381839,JJ
383,1839,1,1,0,1839,CD
384,184,10,1,0,184,CD
385,1840,5,1,0,1840,CD
386,1841,2,1,0,1841,CD
387,184185,1,1,0,184185,JJ
388,1843,4,1,0,1843,CD
389,18431852,1,1,0,18431852,JJ
390,184345,1,1,0,184345,JJ
391,18435,1,1,0,18435,JJ
392,1844,2,1,0,1844,CD
393,1845,4,1,0,1845,CD
394,184562,1,1,0,184562,JJ
395,1846,6,1,0,1846,CD
396,1847,5,1,0,1847,CD
397,1848,16,1,0,1848,CD
398,1849,4,1,0,1849,CD
399,185,7,1,0,185,CD
400,1850,5,1,0,1850,CD
401,185057,1,1,0,185057,CD
402,1851,1,1,0,1851,PRP
403,1852,5,1,0,1852,CD
404,1853,3,1,0,1853,CD
405,18531856,1,1,0,18531856,JJ
406,1854,1,1,0,1854,CD
407,1855,3,1,0,1855,CD
408,1856,3,1,0,1856,CD
409,1857,4,1,0,1857,CD
410,1859,1,1,0,1859,CD
411,186,6,1,0,186,CD
412,186069,1,1,0,186069,JJ
413,1861,3,1,0,1861,CD
414,1862,1,1,0,1862,CD
415,1863,10,1,0,1863,CD
416,18631954,1,1,0,18631954,JJ
417,1864,1,1,0,1864,CD
418,1865,5,1,0,1865,CD
419,1866,2,1,0,1866,CD
420,1867,2,1,0,1867,CD
421,18671882,2,1,0,18671882,CD
422,186777,1,1,0,186777,JJ
423,1868,2,1,0,1868,CD
424,1869,9,1,0,1869,CD
425,186974,1,1,0,186974,JJ
426,187,7,1,0,187,CD
427,1870,12,1,0,1870,CD
428,1871,13,1,0,1871,CD
429,18711885,2,1,0,18711885,CD
430,18711900,1,1,0,18711900,JJ
431,1873,7,1,0,1873,CD
432,18731890,1,1,0,18731890,JJ
433,1874,4,1,0,1874,CD
434,1875,3,1,0,1875,CD
435,18751899,1,1,0,18751899,JJ
436,1876,4,1,0,1876,CD
437,1877,4,1,0,1877,CD
438,1878,5,1,0,1878,CD
439,18781939,1,1,0,18781939,JJ
440,1879,6,1,0,1879,CD
441,18791921,1,1,0,18791921,CD
442,188,7,1,0,188,CD
443,1880,7,1,0,1880,CD
444,1881,4,1,0,1881,CD
445,18811894,1,1,0,18811894,JJ
446,1882,6,1,0,1882,CD
447,188208,1,1,0,188208,JJ
448,1883,4,1,0,1883,CD
449,1884,9,1,0,1884,CD
450,1885,5,1,0,1885,CD
451,18851905,1,1,0,18851905,CD
452,1886,5,1,0,1886,CD
453,1888,4,1,0,1888,CD
454,1889,2,1,0,1889,CD
455,18892,1,1,0,18892,JJ
456,188993,1,1,0,188993,JJ
457,189,6,1,0,189,CD
458,1890,3,1,0,1890,CD
459,18901914,1,1,0,18901914,CD
460,18901918,1,1,0,18901918,JJ
461,1890s,1,1,0,1890,CD
462,1891,4,1,0,1891,CD
463,1892,10,1,0,1892,CD
464,1893,6,1,0,1893,CD
465,1894,11,1,0,1894,CD
466,1895,5,1,0,1895,CD
467,1896,9,1,0,1896,CD
468,18961898,1,1,0,18961898,CD
469,1897,13,1,0,1897,CD
470,18971901,1,1,0,18971901,JJ
471,1898,25,1,0,1898,CD
472,1899,15,1,0,1899,CD
473,18e,2,1,0,18e,CD
474,18th,2,1,0,18th,CD
475,19,80,1,0,19,CD
476,190,7,1,0,190,CD
477,1900,21,1,0,1900,CD
478,1901,8,1,0,1901,CD
479,19011906,1,1,0,19011906,JJ
480,1902,4,1,0,1902,CD
481,1903,8,1,0,1903,CD
482,190311,1,1,0,190311,JJ
483,19031906,1,1,0,19031906,CD
484,1904,5,1,0,1904,CD
485,1905,17,1,0,1905,CD
486,1906,8,1,0,1906,CD
487,1907,13,1,0,1907,CD
488,1908,11,1,0,1908,CD
489,1909,10,1,0,1909,CD
490,191,6,1,0,191,CD
491,1910,14,1,0,1910,CD
492,1911,8,1,0,1911,CD
493,1912,14,1,0,1912,CD
494,1913,13,1,0,1913,CD
495,1914,16,1,0,1914,CD
496,191418,1,1,0,191418,JJ
497,1915,5,1,0,1915,CD
498,1916,4,1,0,1916,CD
499,19161918,1,1,0,19161918,CD
500,1917,12,1,0,1917,CD
501,19171921,1,1,0,19171921,CD
502,1918,18,1,0,1918,CD
503,1919,15,1,0,1919,CD
504,19191925,1,1,0,19191925,JJ
505,192,10,1,0,192,CD
506,1920,13,1,0,1920,CD
507,192038,1,1,0,192038,CD
508,1920s,3,1,0,1920,CD
509,1921,10,1,0,1921,CD
510,1922,16,1,0,1922,CD
511,19221939,1,1,0,19221939,CD
512,1923,15,1,0,1923,CD
513,19231939,1,1,0,19231939,JJ
514,192324,1,1,0,192324,NN
515,1924,20,1,0,1924,CD
516,1925,12,1,0,1925,CD
517,192526,1,1,0,192526,JJ
518,1926,11,1,0,1926,CD
519,1927,18,1,0,1927,CD
520,1928,17,1,0,1928,CD
521,1929,19,1,0,1929,CD
522,193,11,1,0,193,CD
523,1930,30,1,0,1930,CD
524,193031,1,1,0,193031,JJ
525,1930s,4,1,0,1930,CD
526,1931,15,1,0,1931,CD
527,1932,21,1,0,1932,CD
528,1933,47,1,0,1933,CD
529,19331939,1,1,0,19331939,JJ
530,1934,30,1,0,1934,CD
531,1935,22,1,0,1935,CD
532,1936,34,1,0,1936,CD
533,19361938,1,1,0,19361938,JJ
534,1937,29,1,0,1937,CD
535,19371944,1,1,0,19371944,NN
536,1938,47,1,0,1938,CD
537,1939,61,1,0,1939,CD
538,194,6,1,0,194,CD
539,1940,27,1,0,1940,CD
540,19401,1,1,0,19401,CD
541,1940s,1,1,0,1940,CD
542,1941,33,1,0,1941,CD
543,1942,33,1,0,1942,CD
544,194201,1,1,0,194201,JJ
545,19421943,2,1,0,19421943,CD
546,1943,35,1,0,1943,CD
547,1944,20,1,0,1944,CD
548,1945,17,1,0,1945,CD
549,194546,1,1,0,194546,CD
550,1946,22,1,0,1946,CD
551,19461960,1,1,0,19461960,JJ
552,1947,22,1,0,1947,CD
553,1948,15,1,0,1948,CD
554,1949,17,1,0,1949,CD
555,195,6,1,0,195,CD
556,1950,1,1,0,1950,CD
557,1951,7,1,0,1951,CD
558,1952,3,1,0,1952,CD
559,1953,3,1,0,1953,CD
560,1954,6,1,0,1954,CD
561,1955,3,1,0,1955,CD
562,1956,10,1,0,1956,CD
563,1957,14,1,0,1957,CD
564,1958,1,1,0,1958,CD
565,1959,2,1,0,1959,CD
566,196,4,1,0,196,CD
567,1960,2,1,0,1960,CD
568,1962,2,1,0,1962,CD
569,1963,1,1,0,1963,CD
570,1964,2,1,0,1964,CD
571,1965,3,1,0,1965,CD
572,1968,1,1,0,1968,CD
573,1969,1,1,0,1969,CD
574,197,7,1,0,197,CD
575,1970,2,1,0,1970,CD
576,1970s,1,1,0,1970,CD
577,1972,5,1,0,1972,CD
578,197374,1,1,0,197374,JJ
579,1974,1,1,0,1974,CD
580,1975,1,1,0,1975,CD
581,1976,1,1,0,1976,CD
582,198,8,1,0,198,CD
583,199,8,1,0,199,CD
584,1990s,1,1,0,1990,CD
585,19932,1,1,0,19932,CD
586,19e,1,1,0,19e,CD
587,19n,1,1,0,19n,CD
588,19th,56,1,0,19th,CD
589,1b,1,1,0,1b,CD
590,1cl,1,1,0,1cl,NNP
591,1f,1,1,0,1f,CD
592,1j2,1,1,0,1j2,CD
593,1m,1,1,0,1m,CD
594,1r,1,1,0,1r,CD
595,1s44,1,1,0,1s44,CD
596,1st,2,1,0,1st,CD
597,1tmit,1,1,0,1tmit,CD
598,1v,1,1,0,1v,CD
599,2,316,1,0,2,CD
600,20,85,1,0,20,CD
601,200,9,1,0,200,CD
602,2000,2,1,0,2000,CD
603,20000,2,1,0,20000,CD
604,200000,2,1,0,200000,CD
605,201,8,1,0,201,CD
606,202,5,1,0,202,CD
607,2021,1,1,0,2021,JJ
608,203,8,1,0,203,CD
609,204,5,1,0,204,CD
610,2041,1,1,0,2041,JJ
611,204205,1,1,0,204205,JJ
612,2045,1,1,0,2045,JJ
613,205,9,1,0,205,CD
614,206,6,1,0,206,CD
615,207,6,1,0,207,CD
616,208,5,1,0,208,CD
617,209,9,1,0,209,CD
618,20s,1,1,0,20,CD
619,20th,16,1,0,20th,JJ
620,21,73,1,0,21,CD
621,210,9,1,0,210,CD
622,211,7,1,0,211,CD
623,212,8,1,0,212,CD
624,2122,1,1,0,2122,JJ
625,213,11,1,0,213,CD
626,2134,1,1,0,2134,JJ
627,214,6,1,0,214,CD
628,215,11,1,0,215,CD
629,216,16,1,0,216,CD
630,217,6,1,0,217,CD
631,218,6,1,0,218,CD
632,219,9,1,0,219,CD
633,22,75,1,0,22,CD
634,220,9,1,0,220,CD
635,2201,2,1,0,2201,JJ
636,221,6,1,0,221,CD
637,221861,1,1,0,221861,CD
638,222,7,1,0,222,CD
639,2223,1,1,0,2223,JJ
640,22254,1,1,0,22254,CD
641,223,8,1,0,223,CD
642,224,12,1,0,224,CD
643,224j,1,1,0,224j,CD
644,225,7,1,0,225,CD
645,226,7,1,0,226,CD
646,227,8,1,0,227,CD
647,227228,1,1,0,227228,JJ
648,228,8,1,0,228,CD
649,229,7,1,0,229,CD
650,23,71,1,0,23,CD
651,230,7,1,0,230,CD
652,2301,1,1,0,2301,JJ
653,231,10,1,0,231,CD
654,232,7,1,0,232,CD
655,233,7,1,0,233,CD
656,23334,1,1,0,23334,JJ
657,234,9,1,0,234,CD
658,235,6,1,0,235,CD
659,236,8,1,0,236,CD
660,237,9,1,0,237,CD
661,237246,1,1,0,237246,JJ
662,237a,1,1,0,237a,CD
663,238,5,1,0,238,CD
664,239,11,1,0,239,CD
665,239016,1,1,0,239016,CD
666,23d,1,1,0,23d,CD
667,24,69,1,0,24,CD
668,240,5,1,0,240,CD
669,2400,1,1,0,2400,CD
670,241,6,1,0,241,CD
